student_id,exam_num,CRN,Course,Day,Block,Room,Capacity,Size,Valid
2119177,1,13039,MATH3081,Sat,4 (7:00–9:00),BOS-Hayden-322,55,55,True
2120299,1,11151,MATH4545,Sun,2 (2:00–4:00),BOS-Kariotis-110,40,40,True
2127761,1,12404,MUSC1907,Thu,0 (9:00–11:00),BOS-Hayden-424,36,36,True
2130467,1,20195,CS3001,Thu,2 (2:00–4:00),BOS-Ryder-157,33,33,True
2131148,1,20317,ARTG1291,Mon,0 (9:00–11:00),BOS-Ryder-291,20,14,True
2132622,1,12403,MUSC1906,Fri,2 (2:00–4:00),BOS-West Village -108H,68,68,True
2133370,1,22704,MATH2341,Sun,1 (11:30–1:30),BOS-Ryder-155,33,33,True
2134173,1,16385,PT3500,Thu,1 (11:30–1:30),BOS-Kariotis-208,18,8,True
2134848,1,13790,MATH4555,Mon,3 (4:30–6:30),BOS-Ryder-202,17,17,True
2136557,1,11403,EXSC1120,Mon,2 (2:00–4:00),BOS-West Village -108H,68,67,True
2138020,1,20319,ARTG1291,Thu,4 (7:00–9:00),JDOAAI - Classroom - 116,13,13,True
2138187,1,10416,PSYC3402,Fri,1 (11:30–1:30),BOS-Robinson-109,74,74,True
2139145,1,21731,AFCS1101,Sun,1 (11:30–1:30),BOS-Kariotis-208,18,9,True
2140651,1,12411,MUSC1920,Mon,4 (7:00–9:00),BOS-Richards-236,149,144,True
2140651,2,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
2142266,1,23220,INSH5183,Sat,0 (9:00–11:00),BOS-East Village -008,20,20,True
2144932,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2145207,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
2145207,2,13720,ECON2316,Fri,0 (9:00–11:00),BOS-Snell Library-015,38,38,True
2145849,1,10734,STRT4501,Mon,2 (2:00–4:00),BOS-Richards-238,42,42,True
2146519,1,20317,ARTG1291,Mon,0 (9:00–11:00),BOS-Ryder-291,20,14,True
2147656,1,12411,MUSC1920,Mon,4 (7:00–9:00),BOS-Richards-236,149,144,True
2148588,1,20195,CS3001,Thu,2 (2:00–4:00),BOS-Ryder-157,33,33,True
2150827,1,10313,CS2500,Mon,3 (4:30–6:30),BOS-Behrakis Building-310,103,88,True
2150827,2,14330,CS1802,Tue,1 (11:30–1:30),BOS-Snell Library-013,37,37,True
2150827,3,11222,MATH1365,Tue,4 (7:00–9:00),BOS-Snell Library-123,40,40,True
2150827,4,11769,CS1800,Fri,3 (4:30–6:30),BOS-Richards-236,149,126,True
2151251,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2151282,1,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
2151490,1,10459,MATH2321,Sun,3 (4:30–6:30),BOS-Ryder-158,27,27,True
2152343,1,10918,CRIM4949,Tue,0 (9:00–11:00),BOS-Ryder-124,24,24,True
2154202,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2155282,1,12389,BIOL1111,Sun,2 (2:00–4:00),BOS-Snell Engineering-108,184,176,True
2157615,1,17639,NRSG3321,Sat,0 (9:00–11:00),BOS-Ryder-267,20,5,True
2158161,1,20322,ARTG1291,Thu,0 (9:00–11:00),BOS-Ryder-299,14,14,True
2158324,1,11196,ECON1126,Tue,3 (4:30–6:30),BOS-INV-022,44,44,True
2160336,1,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
2164801,1,20210,CS4973,Sat,1 (11:30–1:30),BOS-HASTINGS-207,29,29,True
2164970,1,20322,ARTG1291,Thu,0 (9:00–11:00),BOS-Ryder-299,14,14,True
2165702,1,10282,MISM2301,Mon,0 (9:00–11:00),BOS-Forsyth-130,40,40,True
2166116,1,10260,PHYS1145,Wed,1 (11:30–1:30),BOS-Churchill-103,166,151,True
2168327,1,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
2169276,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2170070,1,12893,CHEM1153,Tue,0 (9:00–11:00),BOS-HASTINGS-102,42,41,True
2170070,2,10730,EECE2412,Tue,3 (4:30–6:30),BOS-Ryder-452,26,25,True
2170070,3,10214,CHEM1151,Sat,2 (2:00–4:00),BOS-Richards-236,149,122,True
2170582,1,22704,MATH2341,Sun,1 (11:30–1:30),BOS-Ryder-155,33,33,True
2171449,1,12403,MUSC1906,Fri,2 (2:00–4:00),BOS-West Village -108H,68,68,True
2173581,1,18446,ARTG2242,Sun,1 (11:30–1:30),BOS-Snell Library-045,12,12,True
2175926,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2176423,1,17050,COMM1113,Thu,0 (9:00–11:00),BOS-East Village -008,20,20,True
2176594,1,15453,CS3000,Sat,2 (2:00–4:00),BOS-Shillman-335,114,109,True
2176629,1,14388,PHTH4202,Mon,4 (7:00–9:00),BOS-HASTINGS-204,25,25,True
