student_id,Exam 1,Exam 2,Exam 3,Exam 4,Exam 5,Exam 6,Exam 7,Exam 8
2510763,12122 | CHEM1153 | Mon 1 (11:30–1:30) | BOS-Snell Library-111 | cap 42 | size 41 | valid True,12518 | CHEM1151 | Mon 3 (4:30–6:30) | BOS-Richards-458 | cap 117 | size 116 | valid True,13479 | GE1000 | Sat 4 (7:00–9:00) | BOS-Ell-410 | cap 36 | size 25 | valid True,12191 | GE1501 | Tue 1 (11:30–1:30) | BOS-Snell Library-007 | cap 32 | size 31 | valid True,,,,
2510788,11769 | CS1800 | Fri 3 (4:30–6:30) | BOS-Richards-236 | cap 149 | size 126 | valid True,11194 | CS2500 | Mon 2 (2:00–4:00) | BOS-Behrakis Building-310 | cap 103 | size 102 | valid True,16104 | CS1802 | Tue 1 (11:30–1:30) | BOS-Ryder-452 | cap 26 | size 26 | valid True,13036 | MATH1365 | Wed 1 (11:30–1:30) | BOS-HASTINGS-102 | cap 42 | size 42 | valid True,,,,
2510837,14712 | GE1000 | Mon 0 (9:00–11:00) | BOS-Ryder-452 | cap 26 | size 25 | valid True,,,,,,,
2511130,12525 | HONR1102 | Fri 2 (2:00–4:00) | BOS-Ryder-247 | cap 36 | size 18 | valid True,15811 | INTB1205 | Tue 0 (9:00–11:00) | BOS-Snell Library-013 | cap 37 | size 37 | valid True,,,,,,
2511173,12174 | GE1501 | Thu 0 (9:00–11:00) | BOS-Ell-311 | cap 28 | size 28 | valid True,11108 | GE1000 | Thu 2 (2:00–4:00) | BOS-INV-014 | cap 21 | size 21 | valid True,,,,,,
2511190,12735 | CHEM1161 | Fri 3 (4:30–6:30) | BOS-Hurtig-129 | cap 103 | size 101 | valid True,14992 | CHEM1163 | Mon 2 (2:00–4:00) | BOS-Ryder-277 | cap 20 | size 14 | valid True,15245 | BIOL1000 | Sun 1 (11:30–1:30) | BOS-Snell Library-015 | cap 38 | size 38 | valid True,12517 | MATH1341 | Tue 3 (4:30–6:30) | BOS-Kariotis-011 | cap 51 | size 49 | valid True,12388 | BIOL1107 | Wed 4 (7:00–9:00) | BOS-Richards-236 | cap 149 | size 147 | valid True,,,
2511275,14328 | CS1802 | Mon 0 (9:00–11:00) | BOS-Ryder-285 | cap 20 | size 20 | valid True,10314 | CS1800 | Sat 4 (7:00–9:00) | BOS-ISEC-102 | cap 275 | size 269 | valid True,11115 | ACCT1201 | Sun 0 (9:00–11:00) | BOS-Ryder-159 | cap 36 | size 36 | valid True,15067 | ENGW1111 | Thu 3 (4:30–6:30) | BOS-Dodge-111 | cap 18 | size 18 | valid True,14733 | PSYC1101 | Tue 2 (2:00–4:00) | BOS-Shillman-420 | cap 76 | size 76 | valid True,,,
2511311,11412 | CS2500 | Sat 0 (9:00–11:00) | BOS-Dodge-050 | cap 82 | size 82 | valid True,12529 | HONR1102 | Wed 1 (11:30–1:30) | BOS-Ryder-275 | cap 20 | size 19 | valid True,,,,,,
2511332,10927 | BUSN1101 | Fri 0 (9:00–11:00) | BOS-Ryder-293 | cap 20 | size 19 | valid True,13980 | ECON1116 | Mon 4 (7:00–9:00) | BOS-Snell Engineering-108 | cap 184 | size 180 | valid True,11196 | ECON1126 | Tue 3 (4:30–6:30) | BOS-INV-022 | cap 44 | size 44 | valid True,11094 | BUSN1102 | Wed 3 (4:30–6:30) | BOS-Richards-237 | cap 28 | size 28 | valid True,,,,
2511354,10346 | GE1000 | Fri 1 (11:30–1:30) | BOS-Ryder-161 | cap 36 | size 25 | valid True,10496 | CHEM1151 | Sat 1 (11:30–1:30) | BOS-Richards-300 | cap 107 | size 104 | valid True,10208 | CHEM1153 | Thu 1 (11:30–1:30) | BOS-Forsyth-129 | cap 38 | size 38 | valid True,,,,,
2511408,10738 | PHMD1000 | Fri 1 (11:30–1:30) | BOS-Robinson-411 | cap 51 | size 50 | valid True,11326 | ENGW1111 | Tue 4 (7:00–9:00) | BOS-Ryder-291 | cap 20 | size 19 | valid True,,,,,,
2511469,11482 | INTL1000 | Tue 0 (9:00–11:00) | BOS-Snell Library-117 | cap 49 | size 49 | valid True,12528 | HONR1102 | Tue 3 (4:30–6:30) | BOS-Snell Library-045 | cap 12 | size 12 | valid True,20479 | INTL1101 | Wed 0 (9:00–11:00) | BOS-EXP-310 | cap 45 | size 45 | valid True,,,,,
2511491,10441 | CRIM1000 | Sat 0 (9:00–11:00) | BOS-Hurtig-129 | cap 103 | size 90 | valid True,,,,,,,
2511505,10927 | BUSN1101 | Fri 0 (9:00–11:00) | BOS-Ryder-293 | cap 20 | size 19 | valid True,10385 | ACCT1201 | Mon 1 (11:30–1:30) | BOS-Ryder-429 | cap 42 | size 42 | valid True,10041 | INTB1203 | Thu 2 (2:00–4:00) | BOS-Snell Library-123 | cap 40 | size 40 | valid True,11094 | BUSN1102 | Wed 3 (4:30–6:30) | BOS-Richards-237 | cap 28 | size 28 | valid True,,,,
2511518,12735 | CHEM1161 | Fri 3 (4:30–6:30) | BOS-Hurtig-129 | cap 103 | size 101 | valid True,17618 | BNSC1000 | Sat 2 (2:00–4:00) | BOS-Churchill-101 | cap 166 | size 133 | valid True,12517 | MATH1341 | Tue 3 (4:30–6:30) | BOS-Kariotis-011 | cap 51 | size 49 | valid True,13953 | CHEM1163 | Wed 0 (9:00–11:00) | BOS-HASTINGS-105 | cap 23 | size 23 | valid True,12388 | BIOL1107 | Wed 4 (7:00–9:00) | BOS-Richards-236 | cap 149 | size 147 | valid True,,,
2511618,10219 | COMM1101 | Mon 1 (11:30–1:30) | BOS-West Village-020F | cap 257 | size 247 | valid True,11115 | ACCT1201 | Sun 0 (9:00–11:00) | BOS-Ryder-159 | cap 36 | size 36 | valid True,10234 | MATH1231 | Wed 2 (2:00–4:00) | BOS-Snell Library-017 | cap 35 | size 35 | valid True,,,,,
2511675,11320 | ENGW1111 | Thu 2 (2:00–4:00) | BOS-Ryder-285 | cap 20 | size 18 | valid True,12559 | GE1000 | Tue 4 (7:00–9:00) | BOS-HASTINGS-205 | cap 24 | size 24 | valid True,,,,,,
2511685,10382 | ACCT1201 | Fri 2 (2:00–4:00) | BOS-Ryder-217 | cap 42 | size 42 | valid True,10314 | CS1800 | Sat 4 (7:00–9:00) | BOS-ISEC-102 | cap 275 | size 269 | valid True,15473 | DS2000 | Tue 3 (4:30–6:30) | BOS-Shillman-335 | cap 114 | size 110 | valid True,14322 | CS1802 | Wed 4 (7:00–9:00) | BOS-Ryder-291 | cap 20 | size 16 | valid True,,,,
2511706,10790 | CHEM1153 | Mon 0 (9:00–11:00) | BOS-HASTINGS-102 | cap 42 | size 42 | valid True,11319 | ENGW1111 | Mon 2 (2:00–4:00) | BOS-Ryder-285 | cap 20 | size 19 | valid True,13475 | GE1000 | Sat 4 (7:00–9:00) | BOS-Ryder-159 | cap 36 | size 25 | valid True,13929 | GE1501 | Sun 2 (2:00–4:00) | BOS-Ryder-247 | cap 36 | size 31 | valid True,,,,
2511757,12119 | CHEM1151 | Fri 4 (7:00–9:00) | BOS-Richards-458 | cap 117 | size 116 | valid True,12182 | GE1501 | Mon 2 (2:00–4:00) | BOS-Snell Library-007 | cap 32 | size 31 | valid True,11347 | ENGW1111 | Tue 0 (9:00–11:00) | Cullinane-105 | cap 19 | size 19 | valid True,10192 | CHEM1153 | Tue 3 (4:30–6:30) | BOS-Snell Library-013 | cap 37 | size 37 | valid True,10712 | GE1000 | Wed 4 (7:00–9:00) | BOS-Ryder-124 | cap 24 | size 24 | valid True,,,
2511808,12520 | HONR1102 | Fri 2 (2:00–4:00) | BOS-Ryder-159 | cap 36 | size 19 | valid True,,,,,,,
